[WARN][2014-04-16 17:14:42,326][rml.test.TestLog]log warn
[ERROR][2014-04-16 17:14:42,326][rml.test.TestLog]log error
[INFO][2014-04-16 17:14:42,326][rml.test.TestSpring]info
[INFO][2014-04-16 18:02:23,404][rml.test.TestLog]log info
[WARN][2014-04-16 18:02:23,404][rml.test.TestLog]log warn
[ERROR][2014-04-16 18:02:23,404][rml.test.TestLog]log error
[INFO][2014-04-16 18:02:23,404][rml.test.TestSpring]info
[INFO][2014-04-16 18:42:45,279][rml.test.TestLog]log info
[WARN][2014-04-16 18:42:45,279][rml.test.TestLog]log warn
[ERROR][2014-04-16 18:42:45,279][rml.test.TestLog]log error
[INFO][2014-04-16 18:42:45,279][rml.test.TestSpring]info
[INFO][2014-04-16 19:09:06,935][rml.test.TestLog]log info
[WARN][2014-04-16 19:09:06,935][rml.test.TestLog]log warn
[ERROR][2014-04-16 19:09:06,935][rml.test.TestLog]log error
[INFO][2014-04-16 19:09:06,951][rml.test.TestSpring]info
